Chamber Pressure,OF,Adiabatic flame temperature,cp mass,cv mass,cp molar,cv molar,Isentropic exponent,Molecular weight,Specific gas constant,Specifc impulse,Vacuum specific Impulse,Characteristic velocityThrust coefficient,Vacuum thrust coefficient
bar,-,K,J/kg-K,J/mol-K,J/kg-K,J/mol-K,-,g/mol,J/kg-K,sec,sec,m/s,-,-
5.0,1.0,1042.864533321994,1690.1792244557091,1396.509781632576,47852.89148445662,39538.42886630338,1.2102881388197808,28.312317884434268,293.6694428231332,94.22665551842812,191.45849940323794,850.7104023168499,1.0862072790261101,2.207057170171357
5.0,1.1414141414141414,1066.4425244614865,1754.1910371637864,1448.4772055522417,47708.524428591765,39394.06181043852,1.2110587798273216,27.1968807375324,305.71383161154455,97.20079320670476,197.2429517932572,877.537279437322,1.0862377941501622,2.2042283997821905
5.0,1.2828282828282829,1233.9609974118814,1784.9655133472743,1471.5374995414345,47350.67824732554,39036.21562917229,1.2129935621100456,26.52750313283684,313.42801380583967,105.81457787908413,214.02275664959694,955.2354759409063,1.0863148996176044,2.197203013665722
5.0,1.4242424242424243,1358.9112992038947,1784.3787643619082,1461.8092541818273,45993.65428130813,37679.191663154896,1.220664569783848,25.77572385409743,322.5695101800811,112.42883197228538,224.56051736616513,1014.6533671851624,1.0866274539843022,2.170382978906559
5.0,1.5656565656565657,1448.6840925889321,1769.1364503078546,1436.7796279734068,44257.9116600622,35943.449041908956,1.231320667319901,25.016675029425063,332.3568223344477,117.51439018944045,230.8669859956436,1060.108983096186,1.0870792653652237,2.1356594126782884
5.0,1.7070707070707072,1526.58168972156,1749.5012491711727,1408.0611017649169,42602.37950090457,34287.916882751335,1.2424895815801473,24.351156948923286,341.44014740625596,121.93217828984407,235.67389268319099,1099.4620038880805,1.0875739152399304,2.102092997764823
5.0,1.8484848484848484,1606.674469020376,1730.1218752678274,1381.0646601285669,41211.10532273183,32896.6427045786,1.2527450199954908,23.819770105127564,349.0572151392606,126.16286861474555,240.4344071905046,1137.1162513968502,1.0880462696588469,2.073540041643356
5.0,1.9898989898989898,1699.6521142382255,1713.415801087174,1358.7519096907413,40167.9786780676,31853.51605991436,1.2610218163205056,23.443217141210408,354.6638913964328,130.54163357674466,246.09666337165973,1176.1571921103787,1.0884396401286833,2.051922872250904
5.0,2.1313131313131315,1810.2848641473825,1699.9932390890801,1341.8748708703347,39468.87814725482,31154.41552910158,1.2668791077266923,23.217079479918237,358.11836821874556,135.19078744382975,252.98302396076372,1217.726721883439,1.0887243515815166,2.037333933255262
5.0,2.2727272727272725,1932.0746652331643,1688.404826213399,1328.370819740215,38991.25793525953,30676.795317106287,1.271034263266634,23.09354802231025,360.03400647318426,139.90137987584475,260.46211787481934,1259.9199128648156,1.0889294255536215,2.0273199924661864
5.0,2.4141414141414144,2054.9008225166026,1677.012559252204,1315.7923166774503,38600.98795872543,30286.525340572192,1.274526791193676,23.01770952504851,361.2202425747536,144.40005853977672,267.70588152445134,1300.2258383112476,1.0891037482521715,2.0191091468090927
5.0,2.5555555555555554,2173.099493389441,1665.2415671239855,1303.1106777282316,38233.65850714871,29919.195888995473,1.2778972619786004,22.959827127773124,362.13088939575397,148.56634605549516,274.3296497788973,1337.5318194890847,1.089273642926602,2.0113576520608363
5.0,2.696969696969697,2284.5067733259652,1653.1298559653803,1290.1762034155713,37869.53594161987,29555.07332346663,1.2813209944416406,22.907780538211348,362.9536525498091,152.380114275504,280.24897443942666,1371.6474987742865,1.0894478712608175,2.003651526826175
5.0,2.8383838383838382,2388.3999851582457,1640.8747371009943,1277.1069659599866,37504.67398446301,29190.211366309766,1.2848373557085468,22.856512527412157,363.76777114100764,155.8560344025168,285.48649356746057,1402.70335654389,1.0896285181346663,1.9959074804250934
5.0,2.9797979797979797,2484.6708867816833,1628.675930698224,1264.0656856226224,37139.83719812504,28825.374579971798,1.2884424830312602,22.803699924639364,364.61024507560177,159.01999760171088,290.0989100122348,1430.9334666520572,1.0898154916520737,1.9881416866485533
5.0,3.121212121212121,2573.586791766845,1616.701228873848,1251.2038012358255,36777.28190608926,28462.819287936018,1.2921166218301268,22.748347838955596,365.4974276380226,161.90296359869157,294.15661277369793,1456.6185818563984,1.0900078563817437,1.9804024077330997
5.0,3.2626262626262625,2660.198734172282,1609.6086332097323,1246.1746518052344,36823.829073330075,28509.366455176834,1.2916396837939368,22.877504701189014,363.43398140449784,164.15706971754622,298.40872004486556,1476.9324363599014,1.0899827833108056,1.9813972544610519
